"Id","Sales"
39289,4233.32464929021
25593,3541.33959418674
27305,4233.32464929021
32441,3362.18677051193
31585,3179.52672441381
35865,3758.65627406719
36721,3560.633118949
37577,3541.33959418674
29017,0
33297,3800.81279909813
35009,2948.51089887145
40145,0
29873,3374.64051482099
30729,3196.8490613313
38433,3744.78536130558
17033,2948.51089887145
28161,0
15321,4233.32464929021
17889,3374.64051482099
20457,3362.18677051193
26449,3744.78536130558
18745,3196.8490613313
34153,0
19601,3179.52672441381
16177,0
23881,3758.65627406719
24737,3560.633118949
21313,3800.81279909813
22169,0
23025,2948.51089887145
41001,2948.51089887145
8473,3362.18677051193
11041,2898.04313285612
4193,0
9329,3800.81279909813
7617,3179.52672441381
1625,3615.85289372191
6761,3196.8490613313
5049,2898.04313285612
3337,4233.32464929021
14465,3744.78536130558
10185,0
12753,3560.633118949
2481,3823.57936168327
11897,3758.65627406719
5905,3374.64051482099
769,3635.55237339231
13609,3541.33959418674
39290,8503.67702216226
35866,7550.18847830398
18746,6670.96072834551
35010,5922.81160967233
17890,7041.963481779
20458,7015.97588035875
26450,7814.35582415313
38434,7522.32532773104
31586,6634.81368884419
37578,7113.65430945827
17034,5922.81160967233
32442,6753.7816617523
25594,7389.81944575035
21314,7931.26995743044
36722,7152.41011412465
15322,8833.80539523865
23026,5922.81160967233
28162,0
27306,8833.80539523865
34154,0
23882,7843.30067344811
40146,0
33298,7634.87025986777
41002,5922.81160967233
30730,6670.96072834551
19602,6634.81368884419
16178,0
29874,7041.963481779
29018,5922.81160967233
24738,7430.07982199306
22170,0
2482,7708.136267406
770,7329.08368065425
5906,6946.2429570811
5050,5842.30357573668
6762,6580.28319745393
7618,6544.62750011823
13610,7289.3705586466
12754,7329.08368065425
8474,6920.60860186128
3338,8713.72858857821
10186,0
11898,7736.68767300178
9330,7823.46120156137
14466,7708.136267406
1626,7289.3705586466
4194,0
11042,5842.30357573668
29875,3374.64051482099
28163,0
18747,3196.8490613313
32443,3362.18677051193
35011,2948.51089887145
23027,2948.51089887145
20459,3362.18677051193
17891,3374.64051482099
29019,0
34155,0
39291,4233.32464929021
26451,3744.78536130558
23883,3758.65627406719
25595,3541.33959418674
33299,3800.81279909813
24739,3560.633118949
22171,0
15323,4233.32464929021
41003,2948.51089887145
21315,3800.81279909813
30731,3196.8490613313
40147,0
17035,2948.51089887145
27307,4233.32464929021
37579,3541.33959418674
38435,3744.78536130558
31587,3179.52672441381
35867,3758.65627406719
19603,3179.52672441381
16179,0
36723,3560.633118949
8475,3362.18677051193
12755,3560.633118949
5051,2898.04313285612
2483,3823.57936168327
9331,3800.81279909813
3339,4233.32464929021
6763,3196.8490613313
11899,3758.65627406719
14467,3744.78536130558
771,3635.55237339231
7619,3179.52672441381
11043,2898.04313285612
5907,3374.64051482099
1627,3615.85289372191
10187,0
13611,3541.33959418674
4195,0
31588,5939.79397688592
